Customer_ID,Product_ID,Transaction_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sales_Date,Season,Preferred_Purchase_Times,Retention_Strategy,launch_year,launch_month,customer_tenure,recency,engagement_score,purchase_freq_scaled,avg_order_value_scaled,time_between_scaled,customer_tenure_scaled,recency_scaled,engagement_score_scaled,purchase_freq_standardized,avg_order_value_standardized,time_between_standardized,customer_tenure_standardized,recency_standardized,engagement_score_standardized,engagement_score_log,customer_tenure_group,engagement_category,recently_active,engagement_score_ma3
CUST_ZOHGIM,PROD_BLXS25,TRANS_GOAFF9,10,90.95,Sports,7,Asia,0.53,9092.45,2020-08-25,2023-10-13,Summer,Afternoon,Discount,2020,8,5,503,130,0.5,0.3942206168380105,0.0238095238095238,1,0,0,0.0080163446609926,-0.3657805521429278,-1.6140219039089805,1.2338592384980311,-0.979455182442279,1.53444426344611,4.875197323201151,Loyal,High,Inactive,4.875197323201151
CUST_JPDA4D,PROD_C2Y1TF,TRANS_I949BV,12,121.6,Electronics,30,South America,0.76,3714.99,2021-06-21,2023-02-14,Fall,Afternoon,Loyalty Program,2021,6,4,744,49,0.6111111111111112,0.5645457071408724,0.2976190476190476,0,0,0,0.3699280675049052,0.2225465353877721,-0.6832904366790349,0.005405197779163,1.2982442654124382,0.1653374012872311,3.912023005428146,Medium,High,Inactive,4.393610164314649
CUST_H4OVTS,PROD_VCTO6F,TRANS_35JLNS,17,39.01,Sports,74,Europe,0.13,7543.91,2020-09-10,2023-03-17,Winter,Afternoon,Discount,2020,9,5,713,9,0.8888888888888888,0.1055848846901916,0.8214285714285714,1,0,0,1.2747073746146869,-1.3627694241280686,1.097239326717383,1.2338592384980311,1.0052621787589269,-0.5107647528653017,2.302585092994046,Loyal,Low,Inactive,3.696601807207781
CUST_BHMQK8,PROD_VYFE4R,TRANS_LCR5YD,15,147.92,Sports,13,Europe,0.15,5912.27,2021-01-21,2023-12-17,Summer,Afternoon,Discount,2021,1,4,438,171,0.7777777777777778,0.710808557932759,0.0952380952380952,0,0,0,0.9127956517707744,0.7277592252346897,-1.37122239071856,0.005405197779163,-1.593772460909319,2.227448971452456,5.147494476813453,Medium,High,Inactive,3.787367525078548
CUST_HLL3ME,PROD_FUEF0J,TRANS_TLIXP9,17,151.54,Electronics,6,Asia,0.09,6497.19,2020-10-17,2023-12-01,Fall,Evening,Discount,2020,10,5,454,429,0.8888888888888888,0.7309252570158377,0.0119047619047619,1,0,0,1.2747073746146869,0.7972451650996534,-1.6544884894407172,1.2338592384980311,-1.4425559000558938,6.588307865736293,6.063785208687608,Loyal,High,Inactive,4.504621592831701
CUST_QH5U2G,PROD_XISEVK,TRANS_BI87V2,10,69.27,Home,48,Asia,0.12,955.14,2022-11-03,2023-08-25,Summer,Morning,Email Campaign,2022,11,3,552,14,0.5,0.2737427063073075,0.5119047619047619,0,0,0,0.0080163446609926,-0.7819283908922128,0.0451081028922269,-1.2230488429397053,-0.5163544648286644,-0.426251983596235,2.70805020110221,Medium,Medium,Inactive,4.639776628867756
CUST_REKKSM,PROD_60BHU4,TRANS_7EEQ6S,5,78.06,Clothing,39,Asia,0.8,5970.92,2021-02-18,2023-12-07,Fall,Evening,Discount,2021,2,4,448,10,0.2222222222222222,0.3225896082245068,0.4047619047619047,0,0,0,-0.896762962448789,-0.6132042440930331,-0.319091166893404,0.005405197779163,-1.4992621103759285,-0.4938621990114883,2.3978952727983707,Medium,Low,Inactive,3.7232435608627292
CUST_12P5SP,PROD_9HDA2G,TRANS_HVCWAE,4,37.09,Sports,76,Europe,0.05,6353.19,2022-08-04,2023-03-06,Spring,Afternoon,Discount,2022,8,3,724,2,0.1666666666666666,0.0949152542372881,0.8452380952380952,0,0,0,-1.0777188238707454,-1.3996238452719167,1.1781724977808563,-1.2230488429397053,1.1092235643456565,-0.6290826298419949,1.0986122886681098,Medium,Low,Inactive,2.06818592085623
CUST_U0LDBM,PROD_6ORVU3,TRANS_5O6W03,1,62.21,Home,24,North America,0.65,5909.17,2020-06-06,2023-12-06,Fall,Evening,Email Campaign,2020,6,5,449,3,0.0,0.23450958599611,0.2261904761904762,1,0,0,-1.620586408136614,-0.917445168639904,-0.9260899498694556,1.2338592384980311,-1.4898110753225893,-0.6121800759881816,1.3862943611198906,Loyal,Low,Inactive,1.6276006408621235
CUST_934TJ6,PROD_ZNVVA4,TRANS_Y85IB3,10,105.61,Clothing,57,Asia,0.37,6435.21,2020-12-27,2023-11-13,Winter,Afternoon,Loyalty Program,2020,12,5,472,19,0.5,0.4756876910252847,0.6190476190476191,1,0,0,0.0080163446609926,-0.0843816907008377,0.4093073726778579,1.2338592384980311,-1.2724372690957904,-0.3417392143271685,2.995732273553991,Loyal,Medium,Inactive,1.8268796411139971
CUST_5VCKSQ,PROD_74P2OG,TRANS_F4VTQW,17,35.74,Sports,84,North America,0.42,1692.37,2020-03-08,2023-07-03,Summer,Afternoon,Discount,2020,3,5,605,7,0.8888888888888888,0.0874131703250903,0.9404761904761904,1,0,0,1.2747073746146869,-1.4255371101386851,1.5019051820347509,1.2338592384980311,-0.0154496070016933,-0.5445698605729283,2.0794415416798357,Loyal,Low,Inactive,2.153822725451239
CUST_FJPJ16,PROD_LIHMIO,TRANS_1B9BW3,13,65.97,Clothing,22,Asia,0.08,3889.56,2022-09-22,2023-04-16,Winter,Morning,Discount,2022,9,3,683,39,0.6666666666666666,0.2554042789663795,0.2023809523809523,0,0,0,0.5508839289268616,-0.8452719272332017,-1.007023120932929,-1.2230488429397053,0.7217311271587545,-0.003688137250902,3.6888794541139363,Medium,High,Inactive,2.9213510897825876
CUST_DW8Q29,PROD_K3C10Y,TRANS_6NFYOL,19,49.9,Home,29,North America,0.28,4866.82,2021-08-12,2023-01-18,Summer,Morning,Discount,2021,8,4,771,33,1.0,0.1661016949152542,0.2857142857142857,0,0,0,1.6366190974585997,-1.1537357542028053,-0.7237570222107716,0.005405197779163,1.553422211852593,-0.1051034603737819,3.5263605246161616,Medium,Medium,Inactive,3.098227173469978
CUST_5LNW0H,PROD_KK674F,TRANS_6Z1WNL,9,140.74,Electronics,33,Europe,0.97,4032.5,2020-12-07,2023-09-11,Summer,Afternoon,Email Campaign,2020,12,5,535,38,0.4444444444444444,0.6709085857182551,0.3333333333333333,1,0,0,-0.1729395167609637,0.5899390461655082,-0.5618906800838246,1.2338592384980311,-0.6770220607354287,-0.0205906911047153,3.6635616461296463,Loyal,High,Inactive,3.6262672082865812
CUST_CGB38B,PROD_9MFUDD,TRANS_S31YCQ,3,55.83,Sports,76,Europe,0.14,2102.66,2020-06-19,2023-02-13,Winter,Evening,Discount,2020,6,5,745,2,0.1111111111111111,0.1990552931369824,0.8452380952380952,1,0,0,-1.2586746852927015,-1.0399093388991494,1.1781724977808563,1.2338592384980311,1.3076953004657772,-0.6290826298419949,1.0986122886681098,Loyal,Low,Inactive,2.762844819804639
CUST_X471DE,PROD_U0HCPT,TRANS_E61M90,18,24.28,Home,42,Asia,0.2,9821.56,2022-06-12,2023-07-28,Summer,Morning,Discount,2022,6,3,580,10,0.9444444444444444,0.023728813559322,0.4404761904761904,0,0,0,1.4556632360366433,-1.6455119363410282,-0.1976914102981936,-1.2230488429397053,-0.2517254833351702,-0.4938621990114883,2.3978952727983707,Medium,Low,Inactive,2.386689735865376
CUST_T1O53K,PROD_ACME9Y,TRANS_QRFYDW,3,162.48,Sports,14,Europe,0.15,1392.45,2020-01-15,2023-05-15,Fall,Afternoon,Loyalty Program,2020,1,5,654,35,0.1111111111111111,0.7917199222006112,0.1071428571428571,1,0,0,-1.2586746852927015,1.007238585575538,-1.3307558051868231,1.2338592384980311,0.4476511106119213,-0.0712983526661553,3.58351893845611,Loyal,High,Inactive,2.36000883330753
CUST_IO70GT,PROD_5B5ADV,TRANS_378NV2,2,74.21,Sports,9,Europe,0.24,3151.04,2021-07-23,2023-05-23,Fall,Morning,Discount,2021,7,4,646,16,0.0555555555555555,0.3011947763267573,0.0476190476190476,0,0,0,-1.439630546714658,-0.6871050364908536,-1.533088732845507,0.005405197779163,0.3720428301852087,-0.3924468758886084,2.833213344056216,Medium,Medium,Inactive,2.9382091851035654
CUST_SASUTZ,PROD_KDYCI7,TRANS_8M3BGP,13,175.81,Clothing,60,Europe,0.25,2173.1,2022-04-13,2023-12-06,Summer,Morning,Email Campaign,2022,4,3,449,38,0.6666666666666666,0.8657960544595721,0.6547619047619048,0,0,0,0.5508839289268616,1.2631080823711085,0.5307071292730682,-1.2230488429397053,-1.4898110753225893,-0.0205906911047153,3.6635616461296463,Medium,High,Inactive,3.3600979762139906
CUST_1F6ITR,PROD_6JC3IE,TRANS_9N8RPV,4,48.07,Home,74,North America,0.94,182.6,2021-05-22,2023-04-07,Spring,Morning,Loyalty Program,2021,5,4,692,3,0.1666666666666666,0.1559322033898305,0.8214285714285714,0,0,0,-1.0777188238707454,-1.1888626243555354,1.097239326717383,0.005405197779163,0.8067904426388062,-0.6121800759881816,1.3862943611198906,Medium,Low,Inactive,2.6276897837685844
CUST_9TH5GC,PROD_Y6YR3W,TRANS_149JP3,13,43.29,Sports,45,Asia,0.81,8201.82,2020-03-25,2023-08-15,Spring,Afternoon,Discount,2020,3,5,562,13,0.6666666666666666,0.1293692692414559,0.4761904761904761,1,0,0,0.5508839289268616,-1.2806147769949072,-0.0762916537029833,1.2338592384980311,-0.4218441142952736,-0.4431545374500483,2.6390573296152584,Loyal,Medium,Inactive,2.562971112288265
CUST_W8IZWM,PROD_JV3HSP,TRANS_VR2LMK,1,156.04,Electronics,45,North America,0.53,9792.55,2020-08-04,2023-12-02,Fall,Afternoon,Loyalty Program,2020,8,5,453,3,0.0,0.7559322033898305,0.4761904761904761,1,0,0,-1.620586408136614,0.8836227146555474,-0.0762916537029833,1.2338592384980311,-1.4520069351092328,-0.6121800759881816,1.3862943611198906,Loyal,Low,Inactive,1.8038820172850132
CUST_6P1OQQ,PROD_VE9FAM,TRANS_DIIJRJ,8,46.0,Clothing,79,Asia,0.43,2945.99,2020-07-10,2023-06-23,Fall,Morning,Loyalty Program,2020,7,5,615,5,0.3888888888888889,0.1444290080577938,0.8809523809523809,1,0,0,-0.35389537818292,-1.2285962971512467,1.2995722543760668,1.2338592384980311,0.0790607435316973,-0.5783749682805549,1.791759469228055,Loyal,Low,Inactive,1.9390370533210677
CUST_A6XFY9,PROD_FOM3QG,TRANS_T1L4M8,1,186.54,Sports,72,South America,0.22,5576.28,2021-03-21,2023-01-25,Summer,Morning,Discount,2021,3,4,764,3,0.0,0.9254237288135592,0.7976190476190477,0,0,0,-1.620586408136614,1.4690705505343844,1.0163061556539097,0.005405197779163,1.4872649664792197,-0.6121800759881816,1.3862943611198906,Medium,Low,Inactive,1.5214493971559453
CUST_MW3LV2,PROD_BRGWOE,TRANS_JG2Z1Q,14,157.37,Sports,36,Asia,0.37,726.95,2020-10-19,2023-04-16,Summer,Evening,Email Campaign,2020,10,5,683,61,0.7222222222222222,0.7633231453181439,0.369047619047619,1,0,0,0.7318397903488179,0.9091520793020674,-0.4404909234886143,1.2338592384980311,0.7217311271587545,0.368168047532991,4.127134385045092,Loyal,High,Inactive,2.4350627384643455
CUST_A9PHFE,PROD_W78Y00,TRANS_KX7QRM,16,175.7,Clothing,81,Asia,0.76,3128.79,2022-11-07,2023-06-03,Winter,Evening,Email Campaign,2022,11,3,635,35,0.8333333333333334,0.8651847735482078,0.9047619047619048,0,0,0,1.0937515131927305,1.260996631159742,1.3805054254395404,-1.2230488429397053,0.2680814445984789,-0.0712983526661553,3.58351893845611,Medium,High,Inactive,3.0323158948736975
CUST_ADNEZA,PROD_EKP9BU,TRANS_3XUL5M,5,190.75,Home,35,Europe,0.26,3185.8,2021-02-21,2023-08-15,Spring,Afternoon,Discount,2021,2,4,562,27,0.2222222222222222,0.948819116421228,0.3571428571428571,0,0,0,-0.896762962448789,1.5498815468966765,-0.480957509020351,0.005405197779163,-0.4218441142952736,-0.2065187834966619,3.332204510175204,Medium,Medium,Inactive,3.6809526112254685
CUST_8ZM029,PROD_3PM4HT,TRANS_AMQ0E0,7,66.98,Clothing,68,South America,0.09,1791.42,2020-10-01,2023-11-11,Fall,Morning,Email Campaign,2020,10,5,474,7,0.3333333333333333,0.2610169491525423,0.75,1,0,0,-0.5348512396048763,-0.8258849661106564,0.8544398135269623,1.2338592384980311,-1.2535351989891124,-0.5445698605729283,2.0794415416798357,Loyal,Low,Inactive,2.9983883301037166
CUST_A6X4EP,PROD_RA2GXK,TRANS_WOQT4V,13,57.23,Sports,39,Europe,0.47,4309.66,2020-02-13,2023-04-08,Spring,Morning,Discount,2020,2,5,691,19,0.6666666666666666,0.2068352320088913,0.4047619047619047,1,0,0,0.5508839289268616,-1.01303632348176,-0.319091166893404,1.2338592384980311,0.7973394075854671,-0.3417392143271685,2.995732273553991,Loyal,Medium,Inactive,2.8024594418030104
CUST_HOB0YK,PROD_OE7XRF,TRANS_JE2056,10,138.67,Sports,42,Europe,0.74,8802.47,2022-01-11,2023-09-30,Fall,Morning,Loyalty Program,2022,1,3,516,33,0.5,0.6594053903862183,0.4404761904761904,0,0,0,0.0080163446609926,0.5502053733697966,-0.1976914102981936,-1.2230488429397053,-0.8565917267488711,-0.1051034603737819,3.5263605246161616,Medium,Medium,Inactive,2.867178113283329
CUST_BRRRRU,PROD_VK226H,TRANS_JJBKYL,3,172.19,Electronics,51,North America,0.24,843.02,2022-10-07,2023-08-02,Summer,Evening,Loyalty Program,2022,10,3,575,10,0.1111111111111111,0.8456793553764934,0.5476190476190477,0,0,0,-1.2586746852927015,1.1936221425061448,0.1665078594874372,-1.2230488429397053,-0.2989806586018656,-0.4938621990114883,2.3978952727983707,Medium,Low,Inactive,2.973329356989508
CUST_DA0I76,PROD_FXKWAD,TRANS_OS9M5E,8,30.95,Home,60,Asia,0.25,7759.72,2021-08-11,2023-09-24,Fall,Evening,Loyalty Program,2021,8,4,522,4,0.3888888888888889,0.0607946651847735,0.6547619047619048,0,0,0,-0.35389537818292,-1.517481212888181,0.5307071292730682,0.005405197779163,-0.7998855164288367,-0.5952775221343682,1.6094379124341003,Medium,Low,Inactive,2.511231236616211
CUST_SV1H74,PROD_2R9DUJ,TRANS_TL4INS,13,123.76,Home,71,Europe,0.93,582.86,2020-09-16,2023-05-27,Fall,Morning,Discount,2020,9,5,642,23,0.6666666666666666,0.576549041400389,0.7857142857142857,1,0,0,0.5508839289268616,0.2640077591746014,0.9758395701221726,1.2338592384980311,0.3342386899718524,-0.2741289989119151,3.1780538303479458,Loyal,Medium,Inactive,2.395129005193472
CUST_7GAVM9,PROD_PUWL9C,TRANS_1N44GP,11,69.05,Home,74,North America,0.04,3421.3,2020-01-04,2023-06-30,Summer,Morning,Loyalty Program,2020,1,5,608,10,0.5555555555555556,0.2725201444845789,0.8214285714285714,1,0,0,0.1889722060829489,-0.7861512933149454,1.097239326717383,1.2338592384980311,0.0129034981583238,-0.4938621990114883,2.3978952727983707,Loyal,Low,Inactive,2.3951290051934726
CUST_Z6QSTD,PROD_ZKTGY4,TRANS_MPRMR4,5,32.18,Sports,61,North America,0.23,2682.46,2022-12-24,2023-02-08,Spring,Afternoon,Loyalty Program,2022,12,3,750,3,0.2222222222222222,0.0676298971936648,0.6666666666666666,0,0,0,-0.896762962448789,-1.4938713493429034,0.5711737148048049,-1.2230488429397053,1.3549504757324726,-0.6121800759881816,1.3862943611198906,Medium,Low,Inactive,2.3207478214220694
CUST_EDOLDZ,PROD_1V1JNT,TRANS_2ZUCSW,10,95.57,Home,11,Asia,0.82,6785.2,2021-07-29,2023-03-17,Summer,Evening,Loyalty Program,2021,7,4,713,87,0.5,0.4198944151153097,0.0714285714285714,0,0,0,0.0080163446609926,-0.2770996012655435,-1.4521555617820334,0.005405197779163,1.0052621787589269,0.8076344477321372,4.477336814478207,Medium,High,Inactive,2.7538421494654894
CUST_D5PLNY,PROD_DGWCUG,TRANS_8YYEEC,1,103.48,Sports,72,North America,0.87,4824.78,2020-05-24,2023-05-17,Summer,Afternoon,Discount,2020,5,5,652,1,0.0,0.4638510697415948,0.7976190476190477,1,0,0,-1.620586408136614,-0.1252670641572941,1.0163061556539097,1.2338592384980311,0.4287490405052431,-0.6459851836958083,0.6931471805599453,Loyal,Low,Inactive,2.185592785386014
CUST_5T9TN8,PROD_J0NICY,TRANS_UR3NI6,1,120.55,Electronics,25,Europe,0.86,4170.5,2020-01-01,2023-09-13,Fall,Afternoon,Discount,2020,1,5,533,5,0.0,0.5587107529869407,0.238095238095238,1,0,0,-1.620586408136614,0.2023917738247302,-0.8856233643377187,1.2338592384980311,-0.6959241308421068,-0.5783749682805549,1.791759469228055,Loyal,Low,Inactive,2.320747821422069
CUST_2WBGJJ,PROD_5RE3HX,TRANS_DHYRAM,19,103.19,Clothing,53,South America,0.12,666.12,2022-07-04,2023-10-15,Spring,Evening,Discount,2022,7,3,501,37,1.0,0.4622395109752708,0.5714285714285714,0,0,0,1.6366190974585997,-0.1308336173508962,0.2474410305509108,-1.2230488429397053,-0.9983572525489572,-0.0374932449585287,3.6375861597263857,Medium,High,Inactive,2.040830936504795
CUST_I40LLF,PROD_J7IA73,TRANS_O0F7IU,11,61.74,Clothing,24,North America,0.49,1517.8,2020-06-28,2023-11-18,Spring,Evening,Discount,2020,6,5,467,28,0.5555555555555556,0.2318977493748263,0.2261904761904762,1,0,0,0.1889722060829489,-0.926466823815742,-0.9260899498694556,1.2338592384980311,-1.3196924443624858,-0.1896162296428485,3.367295829986474,Loyal,Medium,Inactive,2.9322138196469716
CUST_7USGEB,PROD_KYQOGN,TRANS_8PY3IV,10,128.51,Clothing,19,South America,0.1,977.86,2021-06-10,2023-03-09,Fall,Evening,Email Campaign,2021,6,4,721,68,0.5,0.6029452625729368,0.1666666666666666,0,0,0,0.0080163446609926,0.3551840614836004,-1.1284228775281393,0.005405197779163,1.0808704591856395,0.4864859245096842,4.23410650459726,Medium,High,Inactive,3.7463294981033735
CUST_ZYJ13O,PROD_ULSC9X,TRANS_PIZN0P,8,72.7,Home,83,South America,0.86,7231.13,2020-03-19,2023-03-16,Winter,Afternoon,Discount,2020,3,5,714,7,0.3888888888888889,0.2928035565434843,0.9285714285714286,1,0,0,-0.35389537818292,-0.716089503119609,1.461438596503014,1.2338592384980311,1.014713213812266,-0.5445698605729283,2.0794415416798357,Loyal,Low,Inactive,3.2269479587545233
CUST_6C7IQ0,PROD_SF0F1E,TRANS_DYJ3J6,7,184.7,Sports,13,Europe,0.79,9084.91,2021-02-23,2023-12-25,Spring,Afternoon,Discount,2021,2,4,430,99,0.3333333333333333,0.9151986662961932,0.0952380952380952,0,0,0,-0.5348512396048763,1.43375173027153,-1.37122239071856,0.005405197779163,-1.6693807413360315,1.0104650939778972,4.605170185988092,Medium,High,Inactive,3.6395727440883956
CUST_ST9ZAR,PROD_70JQPD,TRANS_XQVWAX,17,111.89,Home,64,Asia,0.85,6498.59,2021-09-21,2023-09-07,Winter,Morning,Discount,2021,9,4,539,30,0.8888888888888888,0.5105862739649902,0.7023809523809523,0,0,0,1.2747073746146869,0.0361629784571654,0.6925734714000152,0.005405197779163,-0.6392179205220724,-0.1558111219352219,3.4339872044851463,Medium,Medium,Inactive,3.3728663107176913
CUST_DUUUVJ,PROD_92PQSC,TRANS_OTJWTP,12,78.52,Electronics,24,Asia,0.86,7521.31,2021-09-30,2023-07-04,Winter,Evening,Loyalty Program,2021,9,4,604,39,0.6111111111111112,0.3251458738538482,0.2261904761904762,0,0,0,0.3699280675049052,-0.6043745390273195,-0.9260899498694556,0.005405197779163,-0.0249006420550324,-0.003688137250902,3.6888794541139363,Medium,High,Inactive,3.909345614862391
CUST_G79FOY,PROD_QLSPYP,TRANS_Y6UPYJ,8,29.33,Sports,33,Europe,0.91,4650.51,2020-01-16,2023-08-03,Summer,Morning,Discount,2020,1,5,574,7,0.3888888888888889,0.0517921644901361,0.3333333333333333,1,0,0,-0.35389537818292,-1.548577130728303,-0.5618906800838246,1.2338592384980311,-0.3084316936552047,-0.5445698605729283,2.0794415416798357,Loyal,Low,Inactive,3.067436066759639
CUST_IEC9YS,PROD_SK2IQ0,TRANS_PSPT9P,1,83.85,Sports,76,Europe,0.42,1946.52,2020-09-02,2023-09-15,Winter,Evening,Discount,2020,9,5,531,1,0.0,0.3547652125590441,0.8452380952380952,1,0,0,-1.620586408136614,-0.5020651303311163,1.1781724977808563,1.2338592384980311,-0.714826200948785,-0.6459851836958083,0.6931471805599453,Loyal,Low,Inactive,2.153822725451239
CUST_S8VK2R,PROD_TBEBV2,TRANS_RM84OA,4,126.92,Sports,42,Asia,0.26,4415.25,2021-12-14,2023-06-04,Spring,Morning,Discount,2021,12,4,634,12,0.1666666666666666,0.594109474854126,0.4404761904761904,0,0,0,-1.0777188238707454,0.3246639939738514,-0.1976914102981936,0.005405197779163,0.2586304095451398,-0.4600570913038617,2.5649493574615367,Medium,Low,Inactive,1.779179359900439
CUST_P2B7RK,PROD_3ZMZA9,TRANS_T32V0R,6,125.79,Home,27,Europe,0.54,2333.31,2021-12-07,2023-01-21,Fall,Evening,Loyalty Program,2021,12,4,768,28,0.2777777777777778,0.5878299527646568,0.2619047619047619,0,0,0,-0.7158071010268326,0.3029736315298159,-0.8046901932742452,0.005405197779163,1.525069106692576,-0.1896162296428485,3.367295829986474,Medium,Medium,Inactive,2.2084641226693185
CUST_2MCHA9,PROD_0DXZ79,TRANS_9PECLX,19,62.65,Sports,42,Asia,0.77,7577.54,2021-08-15,2023-12-29,Fall,Afternoon,Email Campaign,2021,8,4,426,28,1.0,0.2369547096415671,0.4404761904761904,0,0,0,1.6366190974585997,-0.908999363794439,-0.1976914102981936,0.005405197779163,-1.707184881549388,-0.1896162296428485,3.367295829986474,Medium,Medium,Inactive,3.0998470058114944
CUST_FGBXDV,PROD_WKFQJ3,TRANS_CQ5278,4,45.21,Electronics,18,South America,0.29,4404.1,2020-01-25,2023-01-28,Winter,Evening,Email Campaign,2020,1,5,761,10,0.1666666666666666,0.1400388996943595,0.1547619047619047,1,0,0,-1.0777188238707454,-1.2437603558510593,-1.168889463059876,1.2338592384980311,1.4589118613192025,-0.4938621990114883,2.3978952727983707,Loyal,Low,Inactive,3.0441623109237725
CUST_U3CUD6,PROD_9R98KN,TRANS_KNJPMZ,5,68.41,Sports,21,Europe,0.09,3839.97,2020-06-03,2023-10-25,Spring,Afternoon,Discount,2020,6,5,491,16,0.2222222222222222,0.2689636010002778,0.1904761904761904,1,0,0,-0.896762962448789,-0.7984361003628947,-1.0474897064646658,1.2338592384980311,-1.092867603082348,-0.3924468758886084,2.833213344056216,Loyal,Medium,Inactive,2.866134815613687
CUST_QCUD86,PROD_1SNBVE,TRANS_MD4DRM,8,63.84,Electronics,29,Europe,0.17,7419.49,2022-08-11,2023-11-23,Winter,Afternoon,Discount,2022,8,3,462,18,0.3888888888888889,0.2435676576826896,0.2857142857142857,0,0,0,-0.35389537818292,-0.886157300689658,-0.7237570222107716,-1.2230488429397053,-1.3669476196291812,-0.3586417681809817,2.9444389791664403,Medium,Medium,Inactive,2.725182532007009
CUST_O7YEPN,PROD_ZV762M,TRANS_QSAIXC,11,186.26,Sports,39,South America,0.32,8365.17,2021-08-17,2023-12-13,Summer,Afternoon,Discount,2021,8,4,442,53,0.5555555555555556,0.9238677410391776,0.4047619047619047,0,0,0,0.1889722060829489,1.4636959474509066,-0.319091166893404,0.005405197779163,-1.5559683206959627,0.2329476167024844,3.9889840465642745,Medium,High,Inactive,3.255545456595643
CUST_17977K,PROD_0RKBN6,TRANS_5WCKCG,7,148.62,Home,7,Europe,0.26,6746.0,2020-02-03,2023-07-22,Summer,Evening,Discount,2020,2,5,586,149,0.3333333333333333,0.7146985273687135,0.0238095238095238,1,0,0,-0.5348512396048763,0.7411957329433847,-1.6140219039089805,1.2338592384980311,-0.1950192730151358,1.855592786668563,5.0106352940962555,Loyal,High,Inactive,3.9813527732756566
CUST_YZTBPK,PROD_SZ3AUR,TRANS_XYNGDZ,18,105.91,Sports,52,North America,0.66,4010.78,2020-04-18,2023-03-29,Spring,Afternoon,Loyalty Program,2020,4,5,701,37,0.9444444444444444,0.4773548207835509,0.5595238095238095,1,0,0,1.4556632360366433,-0.0786231873971115,0.206974445019174,1.2338592384980311,0.8918497581188578,-0.0374932449585287,3.6375861597263857,Loyal,High,Inactive,4.212401833462305
CUST_QAXZQT,PROD_TJI0KT,TRANS_25JY8J,6,39.65,Electronics,11,North America,0.51,6765.08,2022-05-16,2023-01-11,Spring,Evening,Discount,2022,5,3,778,22,0.2777777777777778,0.1091414281744928,0.0714285714285714,0,0,0,-0.7158071010268326,-1.3504846170801197,-1.4521555617820334,-1.2230488429397053,1.6195794572259667,-0.2910315527657285,3.1354942159291497,Medium,Medium,Inactive,3.927905223250597
