customerid,average_order_value,time_between_purchases_log,purchase_behavior,churn_probability
CUST_Z6JHQH,32.86,62,5,1
CUST_VW8XV0,56.61,11,18,0
CUST_BPKQPT,143.08,10,4,0
CUST_NBOG4F,36.4,32,2,0
CUST_HUE6XH,131.55,39,19,1
CUST_3YXRQ6,180.93,26,12,0
CUST_UL763Z,187.02,47,11,0
CUST_K6SNJ2,64.65,46,7,1
CUST_BZUOQN,105.61,72,3,0
CUST_0I66Y8,163.73,71,13,0
CUST_JUAAGB,103.16,82,11,1
CUST_XN4AFT,31.8,40,18,0
CUST_OPJ5XG,59.67,85,1,0
CUST_GYL9KK,83.09,41,3,1
CUST_H8LCTW,80.46,37,15,1
CUST_15L8F4,162.59,49,2,0
CUST_KLIWSW,56.71,81,15,1
CUST_L7AEYH,92.54,26,18,0
CUST_OW0FHZ,45.01,78,6,1
CUST_YQEAYL,94.86,83,9,1
CUST_0W10XO,125.57,71,1,0
CUST_VJQURC,62.46,88,9,0
CUST_05QPQ9,135.11,76,5,1
CUST_5LFFFF,197.73,64,12,1
CUST_27TMKY,51.2,11,5,0
CUST_7ZO94W,101.85,7,4,1
CUST_K936UH,39.16,40,7,0
CUST_3ZZ8ZN,143.65,16,2,0
CUST_89KT6H,41.64,16,8,1
CUST_GYMHX9,189.18,66,1,0
CUST_W7FRF4,195.07,68,6,0
CUST_OLQ2WY,26.67,22,2,1
CUST_234S44,153.93,54,10,0
CUST_KC22NA,51.84,69,13,1
CUST_GDT6X2,24.33,39,8,1
CUST_EYB6EO,38.47,89,17,1
CUST_RQGH8S,146.37,11,10,1
CUST_IZOVTJ,130.58,42,15,1
CUST_UR76M3,161.83,43,7,1
CUST_7IBNWS,45.53,57,18,1
CUST_7QMEGN,69.45,62,6,1
CUST_21QAZ8,116.63,74,5,1
CUST_I8D4FW,28.19,30,18,1
CUST_2AVOHJ,168.9,45,9,0
CUST_9QGD5H,129.07,45,9,1
CUST_DFNMX6,146.87,89,17,0
CUST_95RR7D,140.32,46,15,0
CUST_7L9Q4T,55.71,43,8,0
CUST_59IMNS,106.71,49,13,1
CUST_25XE3O,83.59,48,7,0
CUST_WWD1KU,126.53,74,3,0
CUST_4DVWFW,31.76,17,19,0
CUST_VN8LOG,143.96,38,9,0
CUST_HFDCXW,106.62,22,14,0
CUST_QVQ6Q0,163.89,16,15,0
CUST_AJ6B1B,169.15,31,14,0
CUST_V8BU2K,73.61,64,16,1
CUST_SAZKLY,195.23,61,6,0
CUST_LAC7UZ,92.26,43,13,1
CUST_UFPM3U,31.46,49,12,1
CUST_1OAHCU,64.44,28,18,1
CUST_742TUO,135.36,6,12,1
CUST_A56Y3N,95.5,74,10,0
CUST_E8SA8P,20.1,30,8,0
CUST_AB7U1U,126.44,89,16,0
CUST_RKKLGA,116.4,31,4,0
CUST_VPO1LO,86.29,34,18,1
CUST_T0F4IR,80.86,73,4,0
CUST_0R8BLV,182.71,53,11,1
CUST_19OE9Z,112.5,72,9,1
CUST_S6S0T6,177.44,59,17,1
CUST_R04XJB,146.99,15,7,1
CUST_8I3MMV,58.45,79,2,1
CUST_MV3OC4,176.56,53,13,0
CUST_GMCAUE,186.73,52,18,1
CUST_FQZ8NE,41.58,57,19,1
CUST_3MR8L7,75.21,88,11,1
CUST_FETM74,29.38,49,17,1
CUST_83AMRD,145.45,10,13,1
CUST_IEC9YS,83.85,76,1,0
CUST_BRRRRU,172.19,51,3,0
CUST_9E1SLH,100.14,28,13,0
CUST_LDDMOO,89.4,34,18,1
CUST_CBJ8NW,185.63,11,12,0
CUST_7EACWI,131.04,23,3,0
CUST_W4ICQR,23.3,28,16,1
CUST_SN8LFR,39.05,67,2,0
CUST_XHOH17,114.53,32,19,1
CUST_BCYLUW,159.29,73,17,0
CUST_NQ6FTF,95.05,35,4,0
CUST_IW3T3O,24.14,8,11,1
CUST_86PYLF,85.86,13,2,0
CUST_IC7BVP,105.39,38,16,0
CUST_88VYHP,185.37,12,10,1
CUST_2KLMD7,57.21,18,9,1
CUST_PP5LEM,195.97,28,17,1
CUST_DIUOWK,160.69,72,17,0
CUST_YX1V3G,158.53,65,14,0
CUST_NRFQ4A,49.37,35,18,0
CUST_1RARSO,146.31,39,6,0
CUST_7T0E96,159.99,19,4,0
CUST_R5FBZW,96.56,46,4,0
CUST_JE5ZGW,76.16,7,3,1
CUST_26SMRT,67.58,6,12,1
CUST_HC03QO,114.49,81,13,1
CUST_T6FPMD,34.43,13,8,0
CUST_IB59A1,26.74,11,10,1
CUST_NV1E2A,78.6,86,9,1
CUST_OJAF4N,139.7,88,11,0
CUST_4U31AD,193.43,79,10,0
CUST_5T0FR6,160.12,9,3,0
CUST_86Y0ZO,148.57,83,18,0
CUST_9K25IW,93.96,78,3,0
CUST_T5JKGF,180.72,36,14,0
CUST_9G5CTN,116.1,23,15,1
CUST_B6510G,86.6,33,1,1
CUST_8WSPWX,132.63,51,3,1
CUST_9M2R96,26.4,21,10,1
CUST_O8VBCW,191.02,82,8,0
CUST_BRBJ96,81.16,6,18,1
CUST_PNKY4N,193.26,19,4,1
CUST_DIEEI3,139.28,39,13,0
CUST_F2M7I0,33.89,45,17,0
CUST_28WNXJ,164.1,34,12,1
CUST_1P4EXF,173.18,76,8,0
CUST_CVCZA4,158.45,40,18,1
CUST_XAASGH,177.6,70,18,1
CUST_ZAU955,125.79,75,10,0
CUST_14ULBV,108.63,58,17,0
CUST_CQTQUT,137.36,43,4,0
CUST_OE4TDD,164.44,18,13,0
CUST_NJ5O9Q,178.18,52,6,1
CUST_D4LVV5,163.67,59,19,1
CUST_FQS9QJ,92.34,17,7,0
CUST_46A4IK,72.87,5,9,0
CUST_Q1T071,181.77,31,9,1
CUST_TORFN4,187.62,68,5,0
CUST_25141A,124.32,83,3,0
CUST_ECXABM,164.93,55,5,1
CUST_Y7518W,84.54,37,3,0
CUST_VW09WG,171.04,73,19,0
CUST_HUFSFP,100.88,59,18,0
CUST_FVT62X,36.93,39,12,0
CUST_NDWRT2,122.23,77,11,1
CUST_J010II,96.33,42,7,1
CUST_TTZBEK,45.72,28,13,0
CUST_JMJ2L4,97.59,84,3,1
CUST_G9CDLT,171.32,34,15,1
CUST_2RD4J9,173.73,34,6,0
CUST_RU5LVP,145.11,59,12,0
CUST_HQMSVH,160.66,31,3,1
CUST_ZQLJAY,131.33,20,7,1
CUST_S85RH6,50.13,17,14,1
CUST_JVGFK2,197.72,68,12,0
CUST_QOE9L1,60.68,36,17,1
CUST_6FU85L,174.09,18,6,0
CUST_D8ZSIJ,119.52,17,15,0
CUST_GDUSB3,193.9,74,4,1
CUST_6PAPF5,106.01,12,5,0
CUST_VO2GYE,100.45,89,4,1
CUST_RBFQTS,87.64,82,8,1
CUST_W9K50E,62.69,33,14,1
CUST_5ETG0S,166.27,58,18,0
CUST_4HXNGW,103.59,54,8,0
CUST_PDHTCK,183.26,31,5,1
CUST_PHPJEI,27.48,83,8,1
CUST_A2UOU3,51.92,86,2,0
CUST_K3A2WY,197.72,40,15,0
CUST_8RRGUK,171.85,66,15,0
CUST_BUOCQH,86.83,32,1,1
CUST_5ZIMZ4,30.08,69,10,0
CUST_IHG6S2,34.32,45,5,0
CUST_66IKR2,84.46,61,10,1
CUST_M0O23U,135.32,29,13,1
CUST_0NB1PD,104.24,31,2,0
CUST_8BTAA4,113.45,53,10,1
CUST_D2MVUF,67.37,74,6,0
CUST_I9AK1Z,178.87,79,16,1
CUST_VZTSAO,57.7,51,1,0
CUST_LT3XUF,22.27,41,8,1
CUST_8S9US6,113.02,43,11,0
CUST_OQWVOH,171.51,88,4,0
CUST_3K26JC,153.36,15,10,1
CUST_E6118V,44.53,81,9,0
CUST_RKL79G,54.05,12,3,0
CUST_Q0BQU4,73.18,75,9,1
CUST_NDQ5XX,93.65,61,13,0
CUST_EXSNVH,114.91,45,17,1
CUST_TKL576,92,8,18,1
CUST_O3O9BS,20.82,87,19,0
CUST_4R7OLU,67.64,60,2,0
CUST_QVDIJL,135.62,40,8,0
CUST_1CNZO2,178.81,29,1,0
CUST_90KVHP,53.81,63,12,1
CUST_6ZS0HX,44.03,34,19,1
CUST_F6MQ12,58.34,80,15,0
CUST_H7GRVK,85.83,42,17,1
CUST_JQBQ9H,60.49,69,6,0
CUST_P6L63W,107.86,67,5,1
CUST_00MZ71,51.43,27,5,1
CUST_DDPKKA,111.81,13,17,0
CUST_D2R7XL,37.86,43,1,1
CUST_S3ID8X,183.2,86,6,0
CUST_T2KX8J,65.79,79,5,0
CUST_BXJFHN,51.89,85,19,1
CUST_T9MX6L,80.19,37,4,1
CUST_318TW6,181.73,27,17,0
CUST_LDB9QB,31.69,29,9,0
CUST_HW7MAS,109.18,66,16,0
CUST_6Z6FL0,186.56,22,7,0
CUST_EWGG4I,72.94,64,9,1
CUST_ZJO0GW,40.46,19,19,1
CUST_I6NMWM,119.13,14,7,0
CUST_V6RCMT,60.56,44,6,1
CUST_6P73KH,21.45,74,11,0
CUST_TNHWX3,27.64,39,4,0
CUST_MBRRIJ,67.57,12,16,1
CUST_4D8TQ7,144.04,78,2,0
CUST_YHKW5G,179.35,37,1,1
CUST_F7S8YQ,48.13,23,5,0
CUST_Z534UV,175.45,56,6,1
CUST_KF0T5L,99.71,17,19,0
CUST_A7MD98,75.02,62,18,1
CUST_39N9T3,141.59,7,7,0
CUST_74DDNF,79.33,19,18,0
CUST_CVGW0P,22.32,36,7,0
CUST_TIU8QB,192.42,10,17,0
CUST_XRQFXE,20.78,33,6,1
CUST_LYY2WS,53.24,27,10,0
CUST_56OA95,179.48,43,9,0
CUST_02CSR0,169.64,63,17,0
CUST_ZX8HAK,58.28,82,2,0
CUST_R7IG71,164.8,41,2,1
CUST_B086GX,40.43,72,8,0
CUST_IYQ142,106.14,42,7,0
CUST_6VGFOH,63.34,60,2,1
CUST_G79FOY,29.33,33,8,1
CUST_G75JIY,46.81,18,7,1
CUST_9PR1QH,56.9,78,13,1
CUST_VVRTID,61.03,54,1,0
CUST_YYE502,60.47,15,18,1
CUST_93PNSA,199.48,26,2,0
CUST_IQH89U,127.79,59,8,0
CUST_DD2DJ3,85.64,44,8,0
CUST_0BOPZ4,40.01,16,17,0
CUST_D3KM1Z,44.18,47,2,0
CUST_TCZU3K,178.63,70,13,0
CUST_LITJHW,196.8,19,1,1
CUST_FD52AC,101.16,42,8,1
CUST_F9EDBA,117.05,36,14,0
CUST_PC83U2,122.98,67,14,1
CUST_FHEX81,79.02,85,7,0
CUST_6CRL89,136.26,74,7,1
CUST_6S61C0,39.17,9,1,1
CUST_HMC30B,70.66,28,10,0
CUST_B3A9NS,176.06,10,8,1
CUST_EJ5UKW,132.69,59,16,1
CUST_8VKSLO,190.1,47,5,0
CUST_4J6DF0,150.04,81,18,0
CUST_Y5AU7X,105.18,30,12,1
CUST_HVO0YE,144.87,64,15,0
CUST_MYVXBR,94.06,38,2,1
CUST_S0BC39,174.91,40,19,0
CUST_P4M1R8,124.73,89,2,0
CUST_WHRUBX,105.59,74,19,1
CUST_ZWOZ3L,102.81,44,12,1
CUST_PXVIXS,71.44,50,8,0
CUST_X2ZKAR,148.89,10,17,0
CUST_VXRIZL,86.95,15,1,0
CUST_FU8GA6,82.54,8,1,0
CUST_A8EBMI,141.98,31,1,1
CUST_OIBYA9,69.24,54,10,0
CUST_RU9694,141.28,61,12,1
CUST_ZMG0WW,199.04,86,12,0
CUST_PICDBL,151.95,78,10,1
CUST_DD0IA1,175.98,69,19,0
CUST_J23FKI,187.23,60,4,1
CUST_YJHGPS,177.49,63,15,1
CUST_WWWIT5,68.21,65,11,1
CUST_K20BGQ,120.88,68,7,0
CUST_04IZH6,56.41,22,13,1
CUST_NZ0K6T,33.09,83,19,0
CUST_7875ZO,163.6,22,15,1
CUST_F397R6,27.51,81,6,1
CUST_7LBWM5,135.15,43,8,0
CUST_LHXB6G,89.62,59,15,1
CUST_4J9OB0,168.08,36,4,0
CUST_C029PC,154.47,37,12,0
CUST_66UYJJ,151.58,71,9,1
CUST_9U3PHD,130.74,33,18,1
CUST_PNXKJ6,102.78,43,19,0
CUST_MOER37,41.66,49,12,0
CUST_DKC54Q,126.33,28,15,1
CUST_ZJYEPP,97.36,40,17,1
CUST_6JHN8N,33.71,81,15,0
CUST_CIH7WO,176.83,31,2,0
CUST_XG5WH4,113.95,16,17,1
CUST_ETNPOR,90.22,17,8,0
CUST_GGHDSW,106.53,43,1,0
CUST_D3S8TH,34.9,85,12,1
CUST_J3DVCN,72.28,31,12,1
CUST_NBLAE0,168.15,6,15,1
CUST_G5FOAK,139.69,74,19,0
CUST_NYQDER,175.09,67,11,0
CUST_DO0CNC,122.47,67,10,0
CUST_ZH5RCA,161.11,9,19,1
CUST_0NKD5K,41.43,10,19,0
CUST_KYN4O7,58.6,85,7,1
CUST_1XBJ9U,90.59,6,16,0
CUST_DHNQXG,26.86,54,9,1
CUST_VEUNBA,175.95,84,10,1
